State,Federal Dollars Spent
Alabama,0.0
Alaska,428488183.0
Amer. Samoa,0.0
Arizona,3010049534.0
Arkansas,1650984292.0
California,18525399280.0
Colorado,1542446838.0
Connecticut,1831837601.0
Delaware,429170742.0
Dist. Of Col.,409531015.0
Florida,0.0
Georgia,0.0
Guam,46260365.0
Hawaii,529091598.0
Idaho,0.0
Illinois,4434124103.0
Indiana,2319112146.0
Iowa,948124111.0
Kansas,0.0
Kentucky,2785050491.0
Louisiana,2924519207.0
Maine,107777962.0
Maryland,2535168321.0
Massachusetts,2037421331.0
Michigan,4077162335.0
Minnesota,1724401368.0
Mississippi,0.0
Missouri,0.0
Montana,667821537.0
N. Mariana Islands,0.0
Nebraska,0.0
Nevada,1195899911.0
New Hampshire,234801074.0
New Jersey,3070862499.0
New Mexico,1373680442.0
New York,30481374450.0
North Carolina,0.0
North Dakota,229307981.0
Ohio,3738566143.0
Oklahoma,0.0
Oregon,2763854378.0
Pennsylvania,4383553270.0
Puerto Rico,1177945274.0
Rhode Island,412513052.0
South Carolina,0.0
South Dakota,0.0
Tennessee,0.0
Texas,0.0
Utah,0.0
Vermont,210129177.0
Virgin Islands,30276131.0
Virginia,1482549588.0
Washington,4126784762.0
West Virginia,868231918.0
Wisconsin,0.0
Wyoming,0.0
