state,biden,trump
AK,33.5,62.1
AL,36.4,62.5
AR,34.6,62.6
AZ,50.5,48.1
CA,65.3,32.9
CO,55.1,42.3
CT,57.8,40.7
DC,93.4,5.2
DE,58.8,39.8
FL,47.8,51.2
GA,49.2,49.5
HI,63.7,34.3
IA,45,53.2
ID,33.1,63.9
IL,55.3,42.8
IN,40.7,57.4
KS,41.2,56.6
KY,35.7,62.6
LA,39.8,58.5
MA,65.7,32.5
MD,62.5,35.7
ME,52.9,44.2
MI,50.6,47.9
MN,52.6,45.4
MO,41.3,56.9
MS,38.8,59.8
MT,40.6,56.9
NC,48.7,50.1
ND,31.9,65.5
NE,39.1,58.8
NH,52.8,45.6
NJ,60,39
NM,54.2,43.6
NV,49.4,48.5
NY,55.7,43
OH,45.2,53.4
OK,32.3,65.4
OR,57.3,40.3
PA,48.6,50.3
RI,59.4,39.2
SC,43.3,55.2
SD,35.6,61.8
TN,37.4,60.7
TX,46.4,52.2
UT,37.9,58.5
VA,54,44.6
VT,66.4,30.8
WA,60.2,37.5
WI,49.6,48.9
WV,29.6,68.7
WY,26.7,70.4
